Modelo,Índice,Capa,Tipo,Forma de salida,Filtros,Kernel,Pooling,Stride,Parámetros,Participación
MLP,0,flatten,Flatten,"(None, 49152)",,No aplica,No aplica,No aplica,0,0.0
MLP,1,dense_128,Dense,"(None, 128)",,No aplica,No aplica,No aplica,6291584,0.9985864591484155
MLP,2,dropout_030,Dropout,"(None, 128)",,No aplica,No aplica,No aplica,0,0.0
MLP,3,dense_64,Dense,"(None, 64)",,No aplica,No aplica,No aplica,8256,0.00131037427247722
MLP,4,salida_softmax,Dense,"(None, 10)",,No aplica,No aplica,No aplica,650,0.00010316657910733927
