Métrica visual,Media CNN correcta,Media CNN incorrecta,Diferencia error-correcta
Iluminación,0.4560719276352533,0.461622233192126,0.005550305556872692
Contraste,0.13824013248923747,0.1434105876143332,0.00517045512509573
Saturación,0.24839407344372466,0.24237982818373927,-0.006014245259985396
Textura,0.03937660611403556,0.03907339423205013,-0.0003032118819854268
Nitidez,0.025141158151460657,0.024076656184021245,-0.0010645019674394122
Rango dinámico,0.4464158236104618,0.46540949397065023,0.018993670360188453
Píxeles oscuros (%),0.9536583026845952,1.0113751446759258,0.05771684199133065
Píxeles claros (%),0.0009951384171195652,0.0,-0.0009951384171195652
