Clase A,Clase B,Misma planta,Distancia visual,Similitud visual,Par_key,Score confusión MLP (%),Errores MLP,Score confusión CNN (%),Errores CNN
Tomato___Early_blight,Tomato___Tomato_mosaic_virus,True,4.10362168776531,0.19593928805445288,Tomato___Early_blight || Tomato___Tomato_mosaic_virus,0.0,0,0.33333333333333337,1
Tomato___Early_blight,Tomato___healthy,True,4.150446326707868,0.19415793051069294,Tomato___Early_blight || Tomato___healthy,0.0,0,0.0,0
Tomato___Septoria_leaf_spot,Tomato___Target_Spot,True,4.154033323466501,0.1940228045183495,Tomato___Septoria_leaf_spot || Tomato___Target_Spot,0.0,0,0.0,0
Tomato___Septoria_leaf_spot,Tomato___Tomato_mosaic_virus,True,4.302997604364705,0.18857259131645396,Tomato___Septoria_leaf_spot || Tomato___Tomato_mosaic_virus,0.0,0,1.7857142857142856,2
Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus,True,4.303961568609652,0.1885383193419582,Tomato___Bacterial_spot || Tomato___Tomato_mosaic_virus,0.0,0,0.0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,True,4.388495439544844,0.185580559772074,Tomato___Tomato_Yellow_Leaf_Curl_Virus || Tomato___Tomato_mosaic_virus,50.0,56,0.0,0
Tomato___Bacterial_spot,Tomato___healthy,True,4.6247371574000775,0.17778608529011336,Tomato___Bacterial_spot || Tomato___healthy,0.0,0,0.0,0
Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,True,4.814633917558619,0.17197987253853952,Tomato___Leaf_Mold || Tomato___Septoria_leaf_spot,0.0,0,0.18796992481203006,1
Tomato___Bacterial_spot,Tomato___Spider_mites Two-spotted_spider_mite,True,4.858856942866377,0.17068175750861767,Tomato___Bacterial_spot || Tomato___Spider_mites Two-spotted_spider_mite,0.0,0,0.0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___healthy,True,5.0051559781767905,0.16652356801956164,Tomato___Tomato_Yellow_Leaf_Curl_Virus || Tomato___healthy,50.0,238,0.0,0
Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,5.032982980583307,0.16575548169428347,Tomato___Target_Spot || Tomato___Tomato_Yellow_Leaf_Curl_Virus,50.0,211,0.0,0
Tomato___Septoria_leaf_spot,Tomato___healthy,True,5.141390569782924,0.16282957233175066,Tomato___Septoria_leaf_spot || Tomato___healthy,0.0,0,0.0,0
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,5.373571046591437,0.15689791369546222,Tomato___Septoria_leaf_spot || Tomato___Tomato_Yellow_Leaf_Curl_Virus,50.0,266,0.0,0
Tomato___Late_blight,Tomato___Septoria_leaf_spot,True,5.614408259859524,0.15118510389941334,Tomato___Late_blight || Tomato___Septoria_leaf_spot,0.0,0,0.3634085213032582,2
Tomato___Bacterial_spot,Tomato___Target_Spot,True,5.683434890628846,0.1496236615399884,Tomato___Bacterial_spot || Tomato___Target_Spot,0.0,0,0.1567398119122257,1
Tomato___Early_blight,Tomato___Septoria_leaf_spot,True,6.514003266377621,0.13308485031868822,Tomato___Early_blight || Tomato___Septoria_leaf_spot,0.0,0,0.33333333333333337,1
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,True,7.444002435843299,0.11842725148386701,Tomato___Bacterial_spot || Tomato___Septoria_leaf_spot,0.0,0,0.18796992481203006,1
