Tipo de resultado,Iluminación,Contraste,Saturación,Textura,Nitidez,Rango dinámico,Píxeles oscuros (%),Píxeles claros (%)
Ambas correctas,0.44554923757334836,0.13383813108798961,0.3072434541215931,0.034337987589024475,0.014136345562046217,0.4232781545302925,2.14747184716561,0.000294855827294686
Ambas incorrectas,0.45125419155080265,0.14968517327562292,0.24574797521246242,0.040880162902968996,0.025748622990114257,0.4877679815634768,1.155772107712766,0.0
MLP correcta / CNN error,0.5312362270695823,0.1012812267456736,0.21976512670516968,0.026942233155880655,0.012850593343111021,0.31528822013310026,0.04185267857142857,0.0
MLP error / CNN correcta,0.4608071381631105,0.140221033119799,0.22191185213868383,0.04164398445029055,0.030093323816697153,0.45682777469653796,0.4164422076681386,0.0013102655825407608
