Métrica visual,Media MLP correcta,Media MLP incorrecta,Diferencia error-correcta
Iluminación,0.4462675716170294,0.46056920043614785,0.01430162881911845
Contraste,0.1335651989557786,0.14045675892124243,0.006891559965463839
Saturación,0.30651010287379077,0.22250554465827452,-0.08400455821551625
Textura,0.0342759872524592,0.04162495974826399,0.007348972495804788
Nitidez,0.014125566800929395,0.029985109222712313,0.01585954242178292
Rango dinámico,0.4223728496910346,0.45759841047965727,0.035225560788622656
Píxeles oscuros (%),2.129819949943862,0.4348568898632088,-1.6949630600806533
Píxeles claros (%),0.0002923839820359281,0.0012776304567435081,0.00098524647470758
