Modelo,Clase real,Clase predicha,Errores,Total clase real,Proporción sobre clase real,Proporción sobre clase real (%)
MLP,Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,319,319,1.0,100.0
MLP,Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,266,266,1.0,100.0
MLP,Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,253,285,0.887719298245614,88.7719298245614
MLP,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Tomato_Yellow_Leaf_Curl_Virus,251,251,1.0,100.0
MLP,Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus,238,238,1.0,100.0
MLP,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,211,211,1.0,100.0
MLP,Tomato___Early_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,150,150,1.0,100.0
MLP,Tomato___Leaf_Mold,Tomato___Tomato_Yellow_Leaf_Curl_Virus,143,143,1.0,100.0
MLP,Tomato___Tomato_mosaic_virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,56,56,1.0,100.0
