Clase A,Clase B,Misma planta,Distancia color RGB,Δ Luminosidad,Δ Contraste,Δ Saturación,Δ Textura,Errores bidireccionales,Score simétrico (%),Bidireccionalidad
Tomato___Early_blight,Tomato___Late_blight,True,0.022792791995122116,0.010889767631888425,0.019188557341694834,0.020781275629997265,0.006184031479060652,21,6.526315789473684,0.08771929824561403
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,True,0.020940103659832492,0.005991584658622762,0.0031530340760946296,0.021445891559123992,0.005240309219807386,4,0.8723400237910915,0.8406374501992031
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,0.055822254188847585,0.03371512740850452,0.006419400721788399,0.08091357603669169,0.006542120873928074,8,0.7815519388500022,0.6621004566210045
Tomato___Late_blight,Tomato___Septoria_leaf_spot,True,0.11802375670865305,0.07081126876175398,0.02157546065747737,0.04720140337944029,0.0066379776783287575,2,0.3634085213032582,0.9333333333333333
