Métrica,Diferencia CNN - MLP
Accuracy,0.6734019103600295
Balanced Accuracy,0.8602490111762893
Precision Macro,0.8458153122842884
Recall Macro,0.8602490111762893
F1 Macro,0.9068909264767191
F1 Weighted,0.8232332891170003
