Modelo,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Error Rate,Aciertos,Errores
MLP,0.3067597354886113,0.11122807017543859,0.12985130111524162,0.11122807017543859,0.06616694407291374,0.15677447438101352,0.6932402645113886,835,1887
CNN,0.9801616458486407,0.9714770813517278,0.97566661339953,0.9714770813517278,0.9730578705496328,0.9800077634980139,0.01983835415135926,2668,54
