Métrica,MLP,CNN,Diferencia CNN - MLP,Modelo superior
Accuracy,0.3067597354886113,0.9801616458486407,0.6734019103600295,CNN
Balanced Accuracy,0.11122807017543859,0.9714770813517278,0.8602490111762893,CNN
Precision Macro,0.12985130111524162,0.97566661339953,0.8458153122842884,CNN
Recall Macro,0.11122807017543859,0.9714770813517278,0.8602490111762893,CNN
F1 Macro,0.06616694407291374,0.9730578705496328,0.9068909264767191,CNN
F1 Weighted,0.15677447438101352,0.9800077634980139,0.8232332891170003,CNN
Error Rate,0.6932402645113886,0.01983835415135926,-0.6734019103600294,CNN
