epoch,accuracy,loss,val_accuracy,val_loss
1,0.7562588453292847,0.7068329453468323,0.15907421708106995,6.161182403564453
2,0.868209719657898,0.3831336498260498,0.778839111328125,0.7013168334960938
3,0.8976539373397827,0.29356420040130615,0.8052902221679688,0.6405214667320251
4,0.9141867160797119,0.24084623157978058,0.8603967428207397,0.41317397356033325
5,0.9282789826393127,0.20826590061187744,0.7046289443969727,1.0510406494140625
6,0.9385923743247986,0.17624405026435852,0.4684055745601654,2.782616138458252
7,0.9441820383071899,0.16015596687793732,0.306024968624115,5.1788835525512695
8,0.9573295712471008,0.12479544430971146,0.8795003890991211,0.35842546820640564
9,0.9559124708175659,0.1259966790676117,0.862968385219574,0.3960961103439331
10,0.9587466716766357,0.11493553966283798,0.2512858211994171,7.811071872711182
11,0.9658321738243103,0.10026957839727402,0.8350477814674377,0.5247288942337036
12,0.9675641655921936,0.09027296304702759,0.6282145380973816,1.584801435470581
13,0.967879056930542,0.09293998777866364,0.7689198851585388,0.8897107839584351
14,0.9736261963844299,0.07913190871477127,0.6190301179885864,1.9210067987442017
15,0.9711068868637085,0.07725856453180313,0.9099926352500916,0.30093011260032654
16,0.9757518768310547,0.06878644973039627,0.6135194897651672,2.3335583209991455
17,0.976539134979248,0.06680788099765778,0.9669360518455505,0.12712536752223969
18,0.9761455059051514,0.07301333546638489,0.783614993095398,0.8841226100921631
19,0.9789009690284729,0.06488329917192459,0.9239529967308044,0.26959800720214844
20,0.9792158603668213,0.0579511784017086,0.949669361114502,0.18288223445415497
21,0.9781137108802795,0.06252720952033997,0.8695811629295349,0.43568146228790283
22,0.982758641242981,0.04705338552594185,0.7872887849807739,1.162882924079895
23,0.9845693707466125,0.046838533133268356,0.7843497395515442,0.9954411387443542
24,0.9784286022186279,0.054443009197711945,0.977590024471283,0.09077873080968857
25,0.9835458993911743,0.04913021996617317,0.5841293334960938,2.7397842407226562
26,0.9781137108802795,0.058376606553792953,0.7428361773490906,1.4743205308914185
27,0.9855928421020508,0.041699476540088654,0.9419544339179993,0.23046422004699707
28,0.9876397252082825,0.03499821946024895,0.6667891144752502,1.7594088315963745
29,0.9863801002502441,0.03974073752760887,0.7630418539047241,1.4130038022994995
30,0.9902377724647522,0.030483949929475784,0.9529757499694824,0.2283724993467331
31,0.9886631965637207,0.03382642939686775,0.8471711874008179,0.6516074538230896
