epoch,accuracy,loss,val_accuracy,val_loss,delta_loss_train,delta_loss_val,gap_loss,senal_sobreajuste,posterior_mejor_epoca,senal_post_mejor
1,0.28869467973709106,2.5569114685058594,0.30161646008491516,2.107445240020752,,,-0.4494662284851074,False,False,False
2,0.30199968814849854,2.098984479904175,0.30345335602760315,2.085099935531616,-0.45792698860168457,-0.022345304489135742,-0.013884544372558594,False,False,False
3,0.30160605907440186,2.090064287185669,0.30161646008491516,2.0876541137695312,-0.00892019271850586,0.002554178237915039,-0.0024101734161376953,True,True,True
4,0.3009762167930603,2.087999105453491,0.30161646008491516,2.0862109661102295,-0.0020651817321777344,-0.0014431476593017578,-0.0017881393432617188,False,True,False
5,0.3011336922645569,2.0870468616485596,0.30161646008491516,2.086010694503784,-0.0009522438049316406,-0.0002002716064453125,-0.0010361671447753906,False,True,False
6,0.3026295006275177,2.084726572036743,0.30161646008491516,2.0861656665802,-0.0023202896118164062,0.00015497207641601562,0.0014390945434570312,True,True,True
7,0.3028656840324402,2.083893060684204,0.30161646008491516,2.086153030395508,-0.0008335113525390625,-1.2636184692382812e-05,0.002259969711303711,False,True,False
8,0.3026295006275177,2.0842700004577637,0.30161646008491516,2.086092472076416,0.0003769397735595703,-6.0558319091796875e-05,0.0018224716186523438,False,True,False
9,0.302708238363266,2.0839695930480957,0.30161646008491516,2.086256504058838,-0.00030040740966796875,0.000164031982421875,0.0022869110107421875,True,True,True
