Modelo,Épocas ejecutadas,Mejor época,Train loss mejor época,Val loss mejor época,Gap loss mejor época,Señales clásicas totales,Señales después mejor época,Racha máxima post-mejor
MLP,9,2,2.098984479904175,2.085099935531616,-0.013884544372558594,3,3,1
CNN,9,2,0.49887028336524963,1.7392481565475464,1.2403778731822968,4,4,3
