epoch,accuracy,loss,val_accuracy,val_loss,delta_loss_train,delta_loss_val,gap_loss,senal_sobreajuste,posterior_mejor_epoca,senal_post_mejor
1,0.7278381586074829,0.8175801038742065,0.28141072392463684,3.3824656009674072,,,2.5648854970932007,False,False,False
2,0.826562762260437,0.49887028336524963,0.6197648644447327,1.7392481565475464,-0.3187098205089569,-1.6432174444198608,1.2403778731822968,False,False,False
3,0.8678948283195496,0.3897075653076172,0.550330638885498,2.3656928539276123,-0.10916271805763245,0.6264446973800659,1.9759852886199951,True,True,True
4,0.8872618675231934,0.32788315415382385,0.5022042393684387,3.2189459800720215,-0.061824411153793335,0.8532531261444092,2.8910628259181976,True,True,True
5,0.9063926935195923,0.27929848432540894,0.24981631338596344,9.22908878326416,-0.04858466982841492,6.010142803192139,8.949790298938751,True,True,True
6,0.9165485501289368,0.24637022614479065,0.4665687084197998,5.018437385559082,-0.032928258180618286,-4.210651397705078,4.772067159414291,False,True,False
7,0.927176833152771,0.21783499419689178,0.6135194897651672,2.711500644683838,-0.028535231947898865,-2.306936740875244,2.493665650486946,False,True,False
8,0.9270193576812744,0.20816291868686676,0.5231447219848633,1.8515185117721558,-0.009672075510025024,-0.8599821329116821,1.643355593085289,False,True,False
9,0.9367029070854187,0.18898120522499084,0.5977222919464111,2.113654136657715,-0.019181713461875916,0.2621356248855591,1.924672931432724,True,True,True
