Configuración,Mejor época,Train Loss,Validation Loss,Gap Loss,Train Accuracy,Validation Accuracy,Épocas ejecutadas
CNN A,24,0.054443009197711945,0.09077873080968857,0.036335721611976624,0.9784286022186279,0.977590024471283,31
CNN B,2,0.49887028336524963,1.7392481565475464,1.2403778731822968,0.826562762260437,0.6197648644447327,9
