Criterio,CNN A,CNN B,Diferencia B - A,Dirección deseable,Favorece CNN B
Validation Accuracy,0.977590024471283,0.6197648644447327,-0.3578251600265503,Mayor,False
Validation Loss,0.09077873080968857,1.7392481565475464,1.6484694257378578,Menor,False
|Gap Train-Validation|,1.0207176208496094,0.8640110492706299,-0.1567065715789795,Menor,True
