Métrica,CNN A,CNN B,Cambio B - A
Train Accuracy,0.987797200679779,0.628404974937439,-0.3593922257423401
Validation Accuracy,0.977590024471283,0.6197648644447327,-0.3578251600265503
Validation Loss,0.09077873080968857,1.7392481565475464,1.6484694257378578
|Gap Train-Validation| (pp),1.0207176208496094,0.8640110492706299,-0.1567065715789795
