Configuración,Train Accuracy eval,Validation Accuracy eval,Validation Loss eval,Gap (pp),|Gap| (pp)
CNN A,0.987797200679779,0.977590024471283,0.09077873080968857,1.0207176208496094,1.0207176208496094
CNN B,0.628404974937439,0.6197648644447327,1.7392481565475464,0.8640110492706299,0.8640110492706299
